Field,Num_Evaluated,Accuracy,Precision,Recall,F1_Score,E_Measure
Type,47587,0.961880345472503,0.05712955693822321,0.057192915764152544,0.057160331292901184,0.9428396687070988
Country,21422,0.8636448510876669,0.8163297536863269,0.8083942425408406,0.8083230474117078,0.1916769525882922
YearFounded,12305,0.9970743600162536,0.985925150770842,0.9905563314441049,0.9868339087000012,0.013166091299998794
Website,60,0.9833333333333333,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.1428571428571429
ShortDescription,39022,0.0,0.0,0.0,0.0,1.0
SourceText,39022,0.0,0.0,0.0,0.0,1.0
